#Gen gab gaB gAb gAB D D_prime r sigma2 sk2 delta X2 OR logOR dev_ab dev_aB dev_Ab dev_AB log_dev_ab log_dev_aB log_dev_Ab log_dev_AB recomb_diff anst_diff recomb_diff_pro anst_diff_pro pA pB ds_recomb ds_anst recomb
21 0.364016846316855 0.312328404104582 0.303093685972651 0.0205610636059114 -0.0871801937032694 -0.809162579689337 -0.395406395035477 0.493012315052201 0.51270938702364 0.0196970719714388 0.0399524948364692 0.0790639828252266 -2.53749784513449 -0.0710705045204529 0.0468573153636014 0.0452471463325277 -0.0111854211899568 0.849042628010587 1.11392849947931 1.10980619906728 0.9745734566255 0.343455782710944 -0.00923471813193094 0.728033668253004 0.0174819873155107 0.323654749578563 0.332889467710493 -0.015748263843233 -0.00524864970121663 0.1
22 0.376734085550625 0.306605861418203 0.29695965904539 0.0197003939857823 -0.0836277621548469 -0.809341473596315 -0.383434753268909 0.49183972174599 0.505178522623947 0.013338800877957 0.0271202188196702 0.081513946135543 -2.50698115514685 -0.0700044596071305 0.0442879215048993 0.0426745408694369 -0.0102886023282272 0.851129298229998 1.107357678694 1.10325153626435 0.976588031846055 0.357033691564843 -0.00964620237281357 0.743723751959781 0.0185526098435142 0.316660053031172 0.326306255403986 -0.0164980038542444 -0.00549844749943862 0.1
23 0.389039448072939 0.301062836188617 0.291010813654349 0.0188869020840952 -0.0802647909577312 -0.809515082348338 -0.372089807112271 0.490572193861341 0.498154878580323 0.00758268471898155 0.0154568171899379 0.0838664178143771 -2.47853001006552 -0.0688947766152594 0.0418870545561537 0.0402734075813228 -0.00947434316272637 0.85330683310029 1.10125287332157 1.09716869498206 0.978420755290136 0.370152545988844 -0.0100520225342682 0.758212336962147 0.019640188636364 0.309897715738444 0.319949738272712 -0.017247719129906 -0.00574822606142267 0.1
24 0.40094773944379 0.295693422308284 0.28524121153763 0.0181176267102957 -0.0770797285493437 -0.809683507899121 -0.361327743413702 0.489212205038239 0.491589285468984 0.00237708043074503 0.00485899657912097 0.0861261711314825 -2.45194195169743 -0.067751170390841 0.0396426528974575 0.0380313457595724 -0.00873428805081637 0.855556764885669 1.09557636071474 1.09151911539364 0.980089444618275 0.382830112733494 -0.0104522107706539 0.771609186144087 0.0207444854873481 0.303358838247926 0.31381104901858 -0.0179974085473058 -0.00599798451413003 0.1
25 0.412473430902662 0.290491792583011 0.279644980527392 0.0173897959869345 -0.0740617428668152 -0.809846874039545 -0.351108462976624 0.487762686766627 0.485437165959752 -0.00232552080687509 -0.00476773002521152 0.0882977366048289 -2.42704080471515 -0.0665821441142823 0.0375435151379362 0.0359368475271603 -0.0080609789542517 0.857862839927855 1.09029373140905 1.08626765366965 0.981610106223229 0.395083634915727 -0.0108468120556191 0.784012816643525 0.021865265119861 0.297034776514327 0.307881588569946 -0.0187470709837207 -0.00624772198469992 0.1
26 0.423630624966449 0.285452219615645 0.274216337306057 0.0167008181118493 -0.0712006841247126 -0.810005316326634 -0.341395217252624 0.486226943244305 0.479658180474165 -0.00656876277014057 -0.0135096642862098 0.0903854125388349 -2.40367239032571 -0.0653951180474086 0.0355792492232762 0.0339792442089013 -0.00744775676983922 0.860210782383788 1.08537358845202 1.0813822686684 0.982997115017678 0.4069298068546 -0.0112358823095885 0.795511728812885 0.0230022954124932 0.290917155417906 0.302153037727494 -0.0194967053166263 -0.00649743760045729 0.1
27 0.434433029703169 0.280569092745794 0.26894960601315 0.0160482715378869 -0.0684870477277449 -0.810158976421925 -0.332154285392259 0.484608573709496 0.474215883940354 -0.0103926897691423 -0.0214455342578653 0.092393274849229 -2.38170108600031 -0.0641965469860419 0.0337402219851602 0.0321486533002992 -0.00688867318398854 0.862588081241963 1.08078727312911 1.07683373660871 0.984263378975914 0.418384758165282 -0.0116194867326441 0.806185500515821 0.0241553475904032 0.284997877551037 0.296617364283681 -0.020246310423703 -0.00674713048892017 0.1
28 0.444893940330635 0.275836931480864 0.263839233157406 0.0154298950310951 -0.0659119376791311 -0.810307998762913 -0.323354686332694 0.482911402493184 0.46907739739212 -0.0138340051010643 -0.0286470872910472 0.0943251866238019 -2.36100703461475 -0.0629920268664094 0.0320175097461212 0.0304359266577438 -0.00637841208798783 0.864983798710534 1.0765086150852 1.07259539152704 0.985420488927196 0.429464045299539 -0.0119976983234573 0.816105759625339 0.0253241963844856 0.279269128188502 0.291266826511959 -0.020995885182846 -0.00699679977780843 0.1
29 0.455026226978601 0.271250395861053 0.258879799294437 0.0148435778659094 -0.0634670308078582 -0.810452528497819 -0.31496792157113 0.481139416751369 0.464213096948286 -0.0169263198030829 -0.0351796573171423 0.0961848075874724 -2.34148385906814 -0.0617863911316343 0.0304028504619487 0.0288326003951388 -0.00591221962699465 0.867388398091927 1.07251370496251 1.06864288946424 0.986478854342487 0.440182649112691 -0.0123705965666156 0.825337047223201 0.0265086201605583 0.273723377160347 0.286093973726962 -0.0217454284721725 -0.00724644459504997 0.1
30 0.464842327612104 0.266804294176859 0.254066027904779 0.014287350306258 -0.0611445420776823 -0.810592710129333 -0.306967744961365 0.479296711633515 0.459596321719963 -0.0197003899135518 -0.0411027020118915 0.0979756035031024 -2.32303677514912 -0.0605837975462217 0.0288885977577171 0.0273308468415773 -0.00548584200984862 0.869793589346861 1.06878068776454 1.0649539944367 0.987447825998647 0.450554977305846 -0.0127382662720802 0.833937583231613 0.0277084010210838 0.268353378211037 0.281091644483117 -0.0224949391700303 -0.00749606406878967 0.1
31 0.474354245250519 0.262493588420919 0.249392791869154 0.0137593744594082 -0.0589371911772338 -0.81072868657673 -0.29932995639313 0.477387442503896 0.455203101413492 -0.0221843410904041 -0.0464703071661192 0.0997008554787195 -2.30558102152238 -0.0593878061799865 0.0274676771032619 0.025923428801371 -0.00509547026984838 0.872192190668247 1.06528957524054 1.06150838435047 0.988335806475813 0.460594870791111 -0.0131007965517656 0.841959945263872 0.0289233248820365 0.263152166328562 0.276252962880328 -0.0232444161550063 -0.0077456573273964 0.1
